tabel, de tabel ( tabelle )
cd-speler, de cd-speler
etui, het etui (federmappe)
poster, de poster
map, de map (Mappe)
krijtje, het krijtje (Kreide)
boot, de boot
huis, het huis
boom, de boom
bedrag, het bedrag
sinaasappelsap, het sinaasappelsap (Orangensaft)
daghap, de daghap (Tagesgericht)
broodje, het broodje (Brötchen)
slagroom, de slagroom (Schlagsahne)
eten, het eten (Essen (Nomen) )
drank, de drank (Getränk)
