het broodje gezond, belegtes Brötchen mit gesundem Belag
de tomatensoep, Tomatensuppe
maar, mal
nou, nun
graag, bitte
later, später
de keer, Mal
trakteren, für andere mit bezahlen / einen ausgeben
de ober, Kellner
de serveerster, Kellnerin
de gast, Gast
oefenen, üben
de geboortedatum, Geburtsdatum
het apenstaartje, @-Zeichen
zingen, singen
de familie, Familie / Verwandschaft
de omschrijving, Umschreibung
in verwachting zijn, schwanger sein
scheiden, sich scheiden lassen
touwen, heiraten
verliefd, verliebt
vertellen, erzählen
onderstrepen, unterstreichen
de betekenis, Bedeutung
de context, Kontext
afleiden, ableiten
Met Iris Janssen, Iris Janssen ( am Telefon)
het zusje, Schwesterherz
bellen, anrufen
namelijk, nämlich
de heleboel, viel / große Menge
gebeuren, passieren
zoveel, so viel
waarmee, womit
eerst, erst
het nieuws, Nachricht
de oom, Onkel
de tante, Tante
Dat meen je niet!, Das ist nicht dein Ernst!
eigenlijk, eigentlich
getrouwd, verheiratet
ander, andere(-r / -s)
grijs, grau
het haar, Haar
de sproeten(Pl.), Sommersprossen
de baard, Bart
mager, dünn
bedoelen, meinen
ermee, damit
maar, nur
iets anders, etwas anderes
het nieuwtje, Neuigkeit
de bruiloft, Hochzeit
knap, hübsch / schön
lief, lieb
Echt waar?, Wirklich?
eruit zien, aussehen
lang, groß
slank, schlank
gespierd, muskulös
dragen, tragen
de bril, Brille
blond, blond
de krul, Locke
blauw, blau
het oog, Auge
Denemarken, Dänemark
nog steeds, immer noch
benieuwd / benieuwd naar, neugierig / neugierig auf
het keertje, Mal
gauw, bald
bijgepraat zijn, auf dem laufenden sein
Tot gauw, Bis bald
zoeken, suchen
het tengengestelde, Gegenteil
elk(-e), jede(-r/-s)
klein, klein
dik, dick
lelijk, hässlich
de woordgroep, Wortgruppe
het uiterlijk, Äußere
de persoon, Person
beschrijven, bescheiben
soms, manchmal
meerdere, mehrere
volgens, laut
het begin / begin volgend jaar, Anfang / Anfang nächsten Jahres
het meisje, Mädchen
het water, Wasser
veel, viel
weinig, wenig
groot, groß
vies, schmutzig
dan, als
het drankje, Getränk
aleen, nur
zwaar, schwer
braaf, brav
mooi, schön
op straat, auf der Straße
de broer, Bruder
het voorbeeld, Beispiel
best, beste(-r/-s)
de moeder, Mutter
